"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.49192431726448e-38,2.40744840746859,1,0.197,8.52971508605351e-34,"10","SYK"
1.06949132855754e-37,2.92545654975176,0.634,0.078,2.03085708379792e-33,"10","MAP2K6"
1.64971838869899e-37,2.96238006811989,0.78,0.123,3.13265024830051e-33,"10","C12orf45"
2.34673434756714e-37,2.86242803303457,1,0.247,4.45621385259523e-33,"10","UBE2J1"
2.84346422144063e-37,2.73846400768081,0.902,0.183,5.39945421009361e-33,"10","UNC93B1"
2.97619004457781e-37,2.80166677044862,0.537,0.056,5.65148727564881e-33,"10","AFF3"
3.02977693196437e-37,3.24806325143747,0.463,0.044,5.75324341610714e-33,"10","MYL6B"
3.12307396656874e-37,3.02860511685259,0.366,0.027,5.93040515511737e-33,"10","ZFYVE26"
3.92033109871473e-37,3.48520226370467,0.317,0.021,7.44431672334939e-33,"10","AL355075.4"
6.45461884813113e-37,2.87200413318885,0.976,0.22,1.22566757307162e-32,"10","STMN1"
9.63622624236148e-37,3.26323011842962,0.317,0.021,1.82982300116202e-32,"10","CEP128"
1.22559153639072e-36,3.37994880440797,0.341,0.024,2.32727576845233e-32,"10","RPP25"
1.26735553745809e-36,2.50064498911218,0.854,0.146,2.40658143007917e-32,"10","SULF2"
3.58310267262987e-36,2.71693920260273,0.732,0.106,6.80395366505686e-32,"10","SNRNP25"
4.69375252559663e-36,2.73033078004781,0.756,0.114,8.91296667085545e-32,"10","FEZ2"
9.4182438367938e-36,2.81920046327383,0.976,0.236,1.78843032216878e-31,"10","SFT2D2"
1.11114070947894e-35,3.23794576607541,0.683,0.097,2.10994509322956e-31,"10","FCHSD2"
1.17012228811167e-35,2.65433334775334,0.585,0.068,2.22194521289524e-31,"10","PAFAH2"
1.70036035689944e-35,2.88902913084521,0.951,0.216,3.22881428171634e-31,"10","CCDC88A"
3.10906265751958e-35,3.27192025314574,0.317,0.022,5.90379908036393e-31,"10","LRP8"
3.50678025893796e-35,2.74141338192194,1,0.273,6.65902503369729e-31,"10","MPEG1"
4.61809042411888e-35,3.06187835883896,0.415,0.037,8.76929190635934e-31,"10","DSN1"
4.81349452284705e-35,2.52456446744491,0.78,0.123,9.14034474943426e-31,"10","SLAMF7"
5.27465544631562e-35,2.73086884228442,0.61,0.076,1.00160432270087e-30,"10","SLC2A1"
2.88325123034709e-34,3.09239787117083,0.415,0.037,5.47500576130609e-30,"10","HS3ST3B1"
3.24987068033088e-34,3.0113152088724,0.659,0.094,6.1711794348803e-30,"10","ZDHHC17"
4.13630475206677e-34,3.20413281833179,0.317,0.022,7.85442909369958e-30,"10","CYP2U1"
4.33147828983877e-34,2.7401514909896,0.707,0.105,8.22504412457485e-30,"10","AHCY"
1.33123635055085e-33,3.08311173577292,0.902,0.232,2.527884706061e-29,"10","HIGD1A"
1.77556701294544e-33,3.09603327265121,1,0.405,3.3716242008821e-29,"10","ALOX5AP"
4.58509152897685e-33,3.7094246842908,0.341,0.027,8.70663030437414e-29,"10","SLC9A7"
4.60171881630872e-33,3.07036672796777,1,0.342,8.73820386028862e-29,"10","SELENOS"
6.24513973346655e-33,2.93759635122596,0.39,0.034,1.18588958398796e-28,"10","TP53I11"
9.07969460680405e-33,3.06215010657359,0.707,0.118,1.72414320888602e-28,"10","CD2AP"
2.18777804876447e-32,3.72570921734192,0.317,0.024,4.15437173679885e-28,"10","UCK2"
3.26087022455665e-32,2.62300573007993,0.61,0.084,6.19206646941063e-28,"10","PARVB"
1.11440482762094e-31,3.3311310116067,0.293,0.021,2.11614332716941e-27,"10","KPTN"
2.59467349465592e-31,2.47571465938529,0.61,0.082,4.92702549900212e-27,"10","CARD11"
6.31685738056364e-31,2.59579756626516,0.854,0.172,1.19950804799523e-26,"10","A1BG"
1.15307078858763e-30,2.30853922955268,0.927,0.198,2.18956612044905e-26,"10","NGLY1"
2.56795832499436e-30,2.5273927261646,0.634,0.095,4.87629606333179e-26,"10","DAAM1"
2.73995246039965e-30,2.69454240835673,0.537,0.069,5.2028957270529e-26,"10","MOB1B"
2.79131831820466e-29,3.00280512422497,0.854,0.223,5.30043435443883e-25,"10","CCDC186"
4.58979808582232e-29,2.66699300048061,0.463,0.053,8.71556758516801e-25,"10","SLC37A1"
4.8048973832555e-29,2.82586663897258,0.927,0.27,9.12401964106386e-25,"10","OFD1"
6.66597671509449e-29,2.45236628273891,0.756,0.139,1.26580231842929e-24,"10","DDAH2"
1.59415297235895e-28,3.07742420439536,1,0.434,3.02713707921241e-24,"10","GPR183"
1.60377941833302e-28,1.86910330602483,0.927,0.239,3.04541673747257e-24,"10","HLA-DQA1"
1.95373039900726e-28,2.88243380839954,0.415,0.045,3.70993865467489e-24,"10","STK11IP"
2.52852066788326e-28,3.10703294106054,1,0.544,4.80140789624352e-24,"10","TXN"
2.55479094652393e-28,2.76830517344929,1,0.596,4.85129252835429e-24,"10","PLAC8"
2.57312559194872e-28,2.1205960389767,0.951,0.245,4.88610818655143e-24,"10","MEF2C"
2.70852129461097e-28,2.81002032461117,1,0.73,5.14321108633676e-24,"10","SEC61B"
3.16586038228477e-28,2.48398671301026,0.854,0.195,6.01165227992054e-24,"10","REPIN1"
3.99465572890895e-28,2.53668077765188,0.585,0.085,7.58545176362521e-24,"10","CDCA7L"
4.022249979159e-28,2.47792518680213,0.659,0.107,7.63785048542502e-24,"10","CERS6"
6.70332307533593e-28,2.12693415480548,0.976,0.259,1.27289401877554e-23,"10","CAPG"
8.45982232320448e-28,2.39296135972648,0.585,0.084,1.6064356609533e-23,"10","SPNS3"
1.00062052685765e-27,2.82950679131599,0.293,0.023,1.90007831844999e-23,"10","SPHK1"
1.38328647696031e-27,2.3444015067312,0.707,0.123,2.62672269109994e-23,"10","TBC1D4"
1.43590642033246e-27,2.22181949714407,0.683,0.112,2.7266427015693e-23,"10","CREB3L2"
1.47992581269706e-27,2.45474473110736,0.854,0.202,2.81023112573045e-23,"10","MIF4GD"
3.08459827883084e-27,2.34165593844874,0.976,0.267,5.85734367167189e-23,"10","MLEC"
3.11069982677956e-27,2.17132730343107,0.976,0.261,5.90690790107171e-23,"10","SPINT2"
3.24555227183052e-27,3.03275699636529,0.39,0.042,6.16297920897897e-23,"10","TCL1A"
6.7461820102262e-27,2.33329972135794,0.61,0.093,1.28103250192185e-22,"10","CNP"
6.77213544328715e-27,2.65586581493244,0.366,0.036,1.2859607993258e-22,"10","MMP23B"
6.83232661194528e-27,2.85195263796049,0.488,0.064,1.29739050034229e-22,"10","POLB"
8.06770383887886e-27,2.21594227858425,1,0.354,1.53197628196471e-22,"10","CTSZ"
8.62746191910914e-27,2.16196974653658,0.634,0.102,1.63826874381963e-22,"10","TAX1BP3"
9.52900026125993e-27,2.51282055847179,0.488,0.063,1.80946185961065e-22,"10","DHTKD1"
1.62138030435802e-26,2.31038827475032,0.61,0.097,3.07883905994545e-22,"10","STRBP"
1.93548332445928e-26,2.31318730197735,0.902,0.243,3.67528928481574e-22,"10","LAIR1"
2.37974906384083e-26,2.08793797043534,0.951,0.263,4.51890549732735e-22,"10","TM9SF2"
4.18166479866027e-26,2.46562702767062,0.537,0.077,7.94056328617599e-22,"10","LIMD1"
5.25420788886729e-26,2.56920411746607,0.805,0.185,9.9772153601701e-22,"10","ERN1"
5.57238475506148e-26,2.2216682421398,1,0.719,1.05814014113862e-21,"10","SPCS1"
6.42674930225137e-26,1.97628851545781,0.61,0.094,1.22037542500451e-21,"10","HDAC9"
7.51759766652432e-26,2.32565690305386,0.415,0.047,1.4275166208963e-21,"10","EFHC1"
8.51300911049806e-26,2.62521308741759,1,0.501,1.61653529999248e-21,"10","NPC2"
8.87279769051811e-26,2.60449527610718,0.488,0.065,1.68485555345248e-21,"10","CDH23"
9.61753035011108e-26,2.48175239604122,0.512,0.071,1.82627283818259e-21,"10","TEP1"
1.29353678572406e-25,2.11786145199939,1,0.348,2.45629700241142e-21,"10","GRN"
1.63301286907568e-25,2.48862626202005,0.659,0.117,3.10092813708781e-21,"10","BRI3BP"
2.11266156222508e-25,2.15366527954497,0.976,0.348,4.0117330405092e-21,"10","PTPRE"
2.93828136701758e-25,2.29709592280069,1,0.64,5.57950248782968e-21,"10","HSP90B1"
3.4483968253607e-25,2.48758122309117,0.439,0.054,6.54816073167743e-21,"10","SLC12A2"
3.94946000580796e-25,2.18785444197286,0.951,0.289,7.49962960502873e-21,"10","PPM1K"
4.05475614849461e-25,2.33547823105939,0.561,0.085,7.69957645037642e-21,"10","MDN1"
4.35779537924843e-25,2.02259100447859,0.976,0.318,8.27501764565484e-21,"10","HLA-DMA"
4.84767393026991e-25,2.07353697976215,0.634,0.104,9.20524802618954e-21,"10","SEPT11"
5.41025517537667e-25,2.45304927709276,1,0.45,1.02735335525228e-20,"10","HERPUD1"
6.14114963793901e-25,2.15775988403356,0.854,0.203,1.16614290474824e-20,"10","NADK"
8.29586215566539e-25,2.30743967131675,0.61,0.103,1.5753012647393e-20,"10","CSF2RA"
1.33106505339734e-24,2.80941434656146,0.366,0.04,2.52755942989622e-20,"10","FUZ"
1.34018829135103e-24,3.0732156809366,0.366,0.041,2.54488354644646e-20,"10","CRYBG3"
1.83664213038278e-24,2.06995515366155,1,0.362,3.48759974138385e-20,"10","DCK"
1.92290684790104e-24,2.68191272579082,0.561,0.092,3.65140781347929e-20,"10","SLC1A5"
2.03377682786376e-24,2.14174572978053,0.756,0.158,3.8619388184305e-20,"10","TSPAN3"
2.46198602456514e-24,2.21117745783239,0.707,0.136,4.67506526204674e-20,"10","GGA2"
3.10887458824971e-24,2.04891257087293,0.927,0.251,5.90344195562737e-20,"10","ERCC1"
3.18421308934253e-24,3.7626872118618,0.293,0.027,6.04650223535253e-20,"10","PNOC"
8.88722857463021e-24,2.45054259285853,1,0.785,1.68759583403653e-19,"10","CD74"
1.35932494893993e-23,2.39622258659066,0.683,0.135,2.58122214554203e-19,"10","CDYL"
1.72389901339367e-23,1.80483300652174,1,0.735,3.27351183653324e-19,"10","VAMP8"
3.06128717754759e-23,2.52864336385616,0.488,0.071,5.81307822144512e-19,"10","AL135925.1"
3.69003471954364e-23,2.18403893683367,0.537,0.085,7.00700692894142e-19,"10","ARHGAP18"
4.29796817871214e-23,2.5318816535725,0.341,0.037,8.16141177455649e-19,"10","ZDHHC14"
6.03259309111389e-23,2.11810176283343,0.659,0.122,1.14552910207162e-18,"10","PRMT9"
7.30607599472268e-23,2.50655968849841,0.341,0.037,1.38735077063789e-18,"10","RAB13"
1.0840167047314e-22,2.11498670112684,0.927,0.316,2.05843932061445e-18,"10","FKBP2"
1.45247523028332e-22,2.67920008905276,0.439,0.061,2.758105214785e-18,"10","SCRN1"
2.22099594172514e-22,2.13977779505362,0.927,0.295,4.21744919374188e-18,"10","B4GALT1"
3.50358397921592e-22,2.2258698390973,0.805,0.203,6.65295561813311e-18,"10","ELMSAN1"
3.83094321732119e-22,2.59289486073199,0.341,0.038,7.27457807537121e-18,"10","RBBP8"
4.98516479239837e-22,2.2858475021731,0.439,0.062,9.46632942428526e-18,"10","SMIM3"
5.25875633759707e-22,2.00120723952895,0.854,0.235,9.98585240946307e-18,"10","STX7"
5.98512319775779e-22,1.87321960095354,0.585,0.102,1.13651504402223e-17,"10","AC007952.4"
6.36701109781634e-22,2.0666641532064,0.878,0.252,1.20903173736435e-17,"10","MS4A6A"
6.45195533984859e-22,2.26667214911027,0.61,0.115,1.22516179948385e-17,"10","FABP5"
7.0832050019575e-22,2.11307543880893,0.512,0.08,1.34502979782171e-17,"10","XPNPEP1"
1.07519317287184e-21,1.86515705155753,0.976,0.327,2.04168431596633e-17,"10","CTSB"
1.12856946464786e-21,2.21597990173824,0.829,0.216,2.14304055641982e-17,"10","PDIA4"
1.295576318883e-21,2.00589020200395,0.854,0.24,2.46016987192694e-17,"10","SMIM14"
1.3713775301943e-21,2.38835590083751,0.537,0.09,2.60410879208597e-17,"10","STT3A"
1.48679486052775e-21,2.46946382755795,0.683,0.152,2.82327476065614e-17,"10","ZNRF2"
